Page ID,GitHub page_key,Section,Page Title,Karl Content Type,Repo Label,URL Slug / Path,Source File,Summary,Primary Audience,Primary Task,Primary CTA,Status,Priority,IA Notes,Scope / Review Notes,Source Basis,Last Repo Sync
GH-001,pestsTopic,Topic root,Pests and housing problems,Topic page,Topic: Pests and housing problems,sf.gov/topic-pests-and-housing-problems,pages/agency-service-grouping.js,"Get help with pests, mold, garbage, and other housing health problems.","Tenants, helpers, property owners, property managers, building workers","Route users to report, prevention, inspection-scope, and tenant-help paths",Find the right help,Ready for manager review,High,"Top-level topic page opens first and clusters report, prevention, inspect, and tenant help.",Article 11 / HHVC scope only. Do not route users to non-HHVC issue paths. | Mockup sync (2026-07-04): policy=verified,GitHub repo main; js/page-data.js; pages/*.js; validation=pass; policy=verified; Phase 1,2026-07-04
GH-002,recordsHub,Records and lookup tools,Look up building records,Resource collection,Resource collection: Look up building records,sf.gov/look-up-building-records,pages/lookup-building-records.js,"Find past inspection reports, search violations, look up your assigned inspector, or request public records for a building.","Tenants, owners, managers, SRO residents, advocates",Group record lookup tools and formal request pathways,Look up records,In GitHub mockup,High,New records hub not in earlier lean IA; add as tools/records cluster.,External lookup URLs must be verified before publication.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-003,findRecords,Records and lookup tools,Find complaints and inspection records,Transaction page,Transaction: Find complaints and inspection records,sf.gov/find-complaints-and-inspection-records,pages/lookup-complaints-inspections.js,Search Environmental Health complaint and inspection history for a San Francisco address or location.,"Tenants, owners, managers, neighbors, advocates",Search complaint and inspection records,Search records,In GitHub mockup,High,Child of records hub.,Primary CTA opens external lookup tool; verify xnet URL.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-004,findViolations,Records and lookup tools,Look up residential health code violations,Transaction page,Transaction: Look up residential health code violations,sf.gov/lookup-residential-health-code-violations,pages/lookup-residential-violations.js,Search violation and inspection history for residential buildings enforced under the San Francisco Health Code.,"Tenants, owners, advocates",Look up residential Health Code violations,Look up violations,In GitHub mockup,High,May overlap with complaints/inspection lookup; flag for merge decision.,Consider merging with findRecords if editors prefer one combined lookup page.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-005,findHotelRecords,Records and lookup tools,Find residential hotel and shelter records,Transaction page,Transaction: Find residential hotel and shelter records,sf.gov/find-residential-hotel-and-shelter-records,pages/lookup-residential-hotel-records.js,"Look up inspection and program records for SROs, residential hotels, and emergency shelters.","SRO residents, shelter residents, operators, advocates",Find residential hotel and shelter records,Find records,In GitHub mockup,High,Records tool for SRO/hotel/shelter program.,Blocked until final external lookup route is confirmed.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-006,findInspector,Records and lookup tools,Find your district inspector,Information page,Information: Find your district inspector,sf.gov/find-your-district-inspector,pages/find-district-inspector.js,See which Healthy Housing and Vector Control inspector covers your area.,"Tenants waiting for follow-up, owners, managers, building workers",Understand inspector assignment,Find inspector information,Blocked in GitHub mockup,Medium,"Possibly useful, but earlier IA had concerns about inspector lookup.","Blocked until verified district map, staff directory link, or external lookup URL exists. Do not publish staff phone numbers without HHVC confirmation.",GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-007,publicRecords,Records and lookup tools,Make a public records request,Transaction page,Transaction: Make a public records request,sf.gov/make-a-public-records-request-environmental-health,pages/public-records-request.js,"Request copies of City records related to Environmental Health inspections, complaints, or enforcement.","Tenants, advocates, owners, journalists, researchers",Request formal copies of City records,Request public records,In GitHub mockup,Medium,Child of records hub.,Verify whether HHVC needs a program-specific intro or should route directly to the citywide portal.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-008,ownerHub,Owner / manager resources,Property owner responsibilities,Resource collection,Resource collection: Property owner responsibilities,sf.gov/property-owner-responsibilities-hhvc,pages/property-owner-responsibilities.js,"What property owners and managers must do under Health Code Article 11 for pests, vectors, and housing health conditions.","Property owners, property managers, SRO/building operators",Group owner responsibilities and compliance links,Review responsibilities,In GitHub mockup,High,New owner resource collection; supports owner/admin flow.,Reuses existing transaction and information pages instead of duplicating content.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-009,noticeOfViolation,Fix / enforcement,How to respond to a notice of violation,Information page,Information: How to respond to a notice of violation,sf.gov/information/how-to-respond-to-notice-of-violation,pages/respond-to-notice-of-violation.js,Learn what a notice of violation means and what tenants and property owners or managers each need to do to correct cited conditions.,"Tenants, owners, managers, operators, tenant representatives",Explain what to do after an NOV,Learn what to do next,Blocked in GitHub mockup,High,Aligns with fix/enforcement section.,"Blocked until NOV templates, tenant-specific orders, appeal windows, fees, and contact routes are verified.",GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-010,ratsReport,Report a problem,Report rats or mice,Transaction page,Transaction: Report rats or mice,sf.gov/report-rats-or-mice,pages/report-rats-or-mice.js,Report an active rat or mouse problem in San Francisco.,"Tenants, helpers, shared-area reporters, employees",Report rats or mice through 311,Report through 311,Mockup updated — refresh review,High,Core report page.,Maintain title as rats or mice; avoid ambiguous generic rodent wording for public users. | Mockup sync (2026-07-04): change=Changed since main; policy=verified,GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
