Category,Section/Topic,Requirement or Standard,Compliance/Ready Standard,Approved Wording or Legal Source,Responsible Party (Inferred),Source
Regulations/Sanitation,Public Health Nuisance,"No person shall allow a public nuisance including filth, garbage, decayed food, vegetation overgrowth, animal/human excrement, mold, or biological fluids.",Premises must be free of all declared nuisances; materials set out for collection in compliance with Sec. 283.,SF Health Code Sec. 581,Property Owner/Tenant,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
Regulations/Sanitation,Rodent Control & Exclusion,Buildings and premises must be kept continuously clean and free from rodents; seal all structural openings larger than  $1/4$  inch ( $0.25$  inches).,"Use metal, hardware cloth, or concrete; no caulk or foam. Maintain building walls to prevent access to food.",SF Health Code Article 2 Sec. 92(b)-(c),Property Owner/Occupant,"16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17"
Regulations/Sanitation,Bed Bug Management,Owners must investigate complaints within 72 hours (or 2 working days) and provide 2-year infestation/abatement history to prospective tenants.,Written disclosure signed by both parties prior to possession; 28-day clear monitoring period required for abatement.,"SF Health Code Art. 11A; Dir. Rules Sec. 1.11, 2.4",Property Owner/Manager,"16, 1, 2, 3, 4, 18, 19, 20, 15, 21"
Regulations/Sanitation,Refuse Storage,"Provide at least one rigid plastic or metal container with a tight-fitting, watertight lid per dwelling unit.",Containers must be rodent-proof and insect-proof; frequent collections to prevent over-filling.,SF Health Code Art. 6 Sec. 290; Reg. VII(1),Property Owner/Manager,"5, 7, 8, 9, 10, 11, 12, 13, 14, 22, 23"
Regulations/Sanitation,Plumbing & Hot Water,"Lack of improper water closet, lavatory, bathtub, or shower. Minimum hot water storage of 4 gallons per guest room / 8 gallons per unit.",Temperature at tap 105 to 120 degrees Fahrenheit; fixtures must be within the unit or for exclusive use.,Sec. 1001(b)(1); Sec. 505(d)(3)-(4),Property Owner,24
Regulations/Sanitation,Moisture & Mold,"Address visible mold, musty odors, and structural leaks; SFDPH intervenes if mold area exceeds 10 square feet.",Fix leaks in pipes/roofs; maintain indoor humidity below 55% ( $40-50$ % via hygrometer). Never paint over mold.,SF Health Code Sec. 581(b)(6); Dir. Rules,Property Owner/Tenant,"3, 20, 25, 26, 27, 28"
Regulations/Sanitation,Vector Prevention - Landscape,Maintain tree and shrub branches at least 3 feet away from or above buildings.,Clear space of 24 inches along fences/walls; no dense groundcover hiding burrows.,Dir. Rules Sec. VII(3),Property Owner,"5, 6, 8, 9, 10, 11, 12, 13, 14, 22, 29"
Regulations/Sanitation,Mosquito Prevention,"Eliminate all standing water (bird baths, gutters, tires) to prevent West Nile virus; install 16-mesh screens on ventilation.",Change bird bath water weekly; chlorinate pools; dry soil between waterings.,Dir. Rules VII(4); Appendix C,Property Owner/Tenant,"5, 6, 7, 8, 9, 13, 14, 30, 31"
Regulations/Mechanical,Minimum Room Temperature,Maintain minimum room temperature of 70 degrees Fahrenheit in all habitable rooms.,Measured at a point 3 feet above the floor.,Sec. 701(a)(1),Property Owner,24
Regulations/Sanitation,Lead Hazards,Lead hazards within control of owner are prohibited; paint on structures built before 1979 is presumed lead-based.,Abatement of lead hazards as defined in Section 1603.,SF Health Code Sec. 581(b)(10),Property Owner,"1, 2, 3"
