Page Key,Menu Label,Page Title,Page Type,URL Slug,Audience Count,Section Count,Reading Target,SEO Title,Meta Description,Primary CTA
pestsTopic,Topic: Pests and housing problems,Pests and housing problems,Topic page,sf.gov/topic-pests-and-housing-problems,4,6,Grade 5–6,Pests and housing problems,"Report or prevent pests, mold, garbage, and other housing health problems.",
ratsReport,Transaction: Report rats or mice,Report rats or mice,Transaction,sf.gov/report-rats-or-mice,4,3,Grade 5–6,Report rats or mice | San Francisco,Report an active rat or mouse problem in San Francisco.,Report through 311
cockroachesReport,Transaction: Report cockroaches,Report cockroaches,Transaction,sf.gov/report-cockroaches,4,3,Grade 5–6,Report cockroaches | San Francisco,Report an active cockroach problem in San Francisco.,Report through 311
bedBugsReport,Transaction: Report bed bugs,Report bed bugs,Transaction,sf.gov/report-bed-bugs,3,4,Grade 5–6,Report bed bugs | San Francisco,Report an active bed bug problem in San Francisco rental housing.,Report through 311
bedBugsInfo,Information: Bed bug rules and prevention,Bed bug rules and prevention,Information,sf.gov/information/bed-bug-rules-and-prevention,4,7,Grade 6,Bed bug rules and prevention | San Francisco,"Learn about bed bug prevention, treatment preparation, and rules for San Francisco rental housing.",
mosquitoesReport,Transaction: Report mosquitoes,Report mosquitoes in your home or backyard,Transaction,sf.gov/report-mosquitoes-home-backyard,4,3,Grade 5–6,Report mosquitoes in your home or backyard | San Francisco,Report mosquitoes or standing water in San Francisco.,Report through 311
vegetationReport,Transaction: Report vegetation or garbage,Report overgrown vegetation or garbage,Transaction,sf.gov/report-overgrown-vegetation-garbage,4,2,Grade 5–6,Report overgrown vegetation or garbage | San Francisco,"Report garbage, clutter, or overgrown plants that may attract pests or vectors.",Report through 311
moldReport,Transaction: Report mold from humidity or condensation,Report mold from humidity or condensation,Transaction,sf.gov/report-mold-humidity-condensation,3,4,Grade 5–6,Report mold from humidity or condensation,"Report mold or moisture caused by humidity, condensation, or poor ventilation.",Report through 311
payFee,Transaction: Pay your Healthy Housing fee,Pay your Healthy Housing fee for buildings with 3 or more units,Transaction,sf.gov/pay-healthy-housing-fee-buildings-3-or-more-units,2,5,Grade 6 to 8,Pay your Healthy Housing fee | SF.gov,Pay or learn about the Healthy Housing fee for San Francisco residential buildings.,
scopeInfo,Information: Learn what HHVC can inspect,Learn what Healthy Housing and Vector Control can inspect,Information,sf.gov/information/learn-what-hhvc-can-inspect,4,4,Grade 6–7,Learn what HHVC can inspect,"Check whether HHVC may review a pest, vector, or housing health condition.",
ownerGuidance,Information: Integrated pest management for property managers,Integrated pest management for property managers,Information,sf.gov/information/integrated-pest-management-for-property-managers,4,7,Grade 6–7,Integrated pest management for property managers,"Use IPM policies, prevention, monitoring, and resident outreach to reduce pests in buildings.",
afterReport,Information: What happens after you report,What happens after you report a housing or pest problem,Information,sf.gov/information/what-happens-after-you-report-housing-pest-problem,4,5,Grade 6–7,What happens after you report a housing or pest problem | San Francisco,Learn what may happen after a 311 report is sent to Environmental Health.,
tenantRights,Information: Tenant rights and reporting,Tenant rights when reporting housing conditions,Information,sf.gov/information/tenant-rights-and-reporting-housing-conditions,3,3,Grade 6–7,Tenant rights when reporting housing conditions | San Francisco,Learn about tenant protections and where to get help if you are worried about retaliation.,
ratsPrevent,Information: Keep rats and mice out,Keep rats and mice out of your home,Information,sf.gov/information/keep-rats-and-mice-out-your-home,3,7,Grade 6,Keep rats and mice out of your home | San Francisco,"Learn how to reduce food, water, shelter, and entry points that can attract rats or mice.",
cockroachesPrevent,Information: Prevent cockroaches,Prevent cockroaches,Information,sf.gov/information/prevent-cockroaches,3,5,Grade 6,Prevent cockroaches | San Francisco,"Learn how to reduce food, water, and shelter that can attract cockroaches.",
mosquitoesPrevent,Information: Prevent mosquitoes,Prevent mosquitoes,Information,sf.gov/information/prevent-mosquitoes,3,5,Grade 6,Prevent mosquitoes | San Francisco,Learn how to remove standing water and reduce mosquito breeding around your home.,
reduceMoisture,"Information: Reduce indoor moisture, condensation, and humidity","Reduce indoor moisture, condensation, and humidity",Information,sf.gov/information/reduce-indoor-moisture-condensation-humidity,4,12,Grade 6,"Reduce indoor moisture, condensation, and humidity | SF.gov","Learn how to reduce moisture, condensation, and humidity that can lead to mold.",
